id,data_version,data_pack_version,data_pack_version_minor,resource_pack_version,resource_pack_version_minor
1.14,1952,4,0,4,0
1.14.1-pre1,1955,4,0,4,0
1.14.1-pre2,1956,4,0,4,0
1.14.1,1957,4,0,4,0
1.14.2-pre1,1958,4,0,4,0
1.14.2-pre2,1959,4,0,4,0
1.14.2-pre3,1960,4,0,4,0
1.14.2-pre4,1962,4,0,4,0
1.14.2,1963,4,0,4,0
1.14.3-pre1,1964,4,0,4,0
1.14.3-pre2,1965,4,0,4,0
1.14.3-pre3,1966,4,0,4,0
1.14.3-pre4,1967,4,0,4,0
1.14.3,1968,4,0,4,0
1.14.4-pre1,1969,4,0,4,0
1.14.4-pre2,1970,4,0,4,0
1.14.4-pre3,1971,4,0,4,0
1.14.4-pre4,1972,4,0,4,0
1.14.4-pre5,1973,4,0,4,0
1.14.4-pre6,1974,4,0,4,0
1.14.4-pre7,1975,4,0,4,0
1.14.4,1976,4,0,4,0
19w34a,2200,4,0,4,0
19w35a,2201,4,0,4,0
19w36a,2203,4,0,4,0
19w37a,2204,4,0,4,0
19w38a,2205,4,0,4,0
19w38b,2206,4,0,4,0
19w39a,2207,4,0,4,0
19w40a,2208,4,0,4,0
19w41a,2210,4,0,4,0
19w42a,2212,4,0,4,0
19w44a,2213,4,0,4,0
19w45a,2214,4,0,4,0
19w45b,2215,4,0,4,0
19w46a,2216,4,0,4,0
19w46b,2217,4,0,4,0
1.15-pre1,2218,5,0,5,0
1.15-pre2,2219,5,0,5,0
1.15-pre3,2220,5,0,5,0
1.15-pre4,2221,5,0,5,0
1.15-pre5,2222,5,0,5,0
1.15-pre6,2223,5,0,5,0
1.15-pre7,2224,5,0,5,0
1.15,2225,5,0,5,0
1.15.1-pre1,2226,5,0,5,0
1.15.1,2227,5,0,5,0
1.15.2-pre1,2228,5,0,5,0
1.15.2-pre2,2229,5,0,5,0
1.15.2,2230,5,0,5,0
20w06a,2504,5,0,5,0
20w07a,2506,5,0,5,0
20w08a,2507,5,0,5,0
20w09a,2510,5,0,5,0
20w10a,2512,5,0,5,0
20w11a,2513,5,0,5,0
20w12a,2515,5,0,5,0
20w13a,2520,5,0,5,0
20w13b,2521,5,0,5,0
20w14a,2524,5,0,5,0
